44041116+18316898j, -15280866+25968928j, -30990341+30546917j, 12704360+-7536642j, -37310920+44298535j, -27617617+-9117367j, -28602864+-4609270j, 18771671+-4844173j, 22633355+-13699459j, -19759328+-19034172j, 29471915+26726814j, 12133999+-13348017j, -8657382+1853612j, 32708073+4015579j, -37827176+9264006j, -25493044+8462048j, 
-6713053+-18027125j, -18732307+10541261j, -39732848+22466230j, 33609201+-25675014j, 1541443+-14967797j, 17707526+8574120j, -4515964+-18730198j, -1033167+13825386j, -21342991+-15435718j, 18415022+-24938583j, 5032549+1894066j, -24115091+7423498j, -16201894+305110j, -1158709+-67847666j, -16619887+52591722j, -33506336+11813046j, 
8469624+24629275j, -4907382+-12528308j, -13129424+479825j, -14594907+-21476114j, -22490961+-10629975j, -21563266+-24565501j, -12899477+-18416410j, 26406026+-9570640j, -15709667+-25193022j, -19153060+-10787752j, -20021990+17205111j, 12722883+-31859705j, -5996720+10294212j, 615305+-29825557j, -24294855+4921424j, 9277821+-29643806j, 
-27663624+-18513236j, -37242970+19734525j, 47617636+32651105j, -9111472+11778896j, 11412419+27205991j, 4051172+22133934j, -48116748+36394132j, -23390060+-30811233j, 14588513+34415907j, -23475398+-23031124j, -3948488+-25478927j, 15485992+63989646j, -7520788+-6776123j, 15467846+-9345287j, 23451904+12638962j, -30907784+20202049j, 
-7709746+-19961124j, -22514099+8680257j, 10284533+103498j, -5683269+3655459j, -15632869+-30997466j, -7046835+-7406060j, 461705+3361944j, -858051+-8240462j, 14695469+-15734138j, 10803920+-18492124j, -7721268+-3828518j, -11010464+-30381572j, 4933096+15587602j, -7938807+17667559j, -25064332+-6742080j, -11453033+10006969j, 
-12659464+17355391j, -52116191+-11808309j, 31518986+26927097j, 5349627+-8746748j, -14011894+4228674j, -17438743+-9430127j, -39435034+-32961112j, 5524303+-922302j, 121429+-19627332j, 30763379+-55213629j, -20781712+-11509666j, 25152359+23209965j, -10570470+-7432104j, -14623123+-56985890j, 5542441+8438939j, -26864896+-1533002j, 
6145240+-32881378j, -27870671+-375423j, 5354741+43499960j, 589400+-9125232j, -25983394+-4530547j, 10959048+43811477j, -7058247+-2039250j, -1309091+-33743683j, 2221000+38135246j, 27476192+-9476283j, 27325780+-14991578j, -26700339+22040837j, -18856573+17924578j, -24671404+-44463608j, 30262838+25619350j, -38838309+-24904277j, 
6106294+-56746294j, -55797455+5221429j, 3217143+16123691j, 20948667+2486808j, -7558578+-76869728j, -3300005+-8606178j, -11832679+19363337j, -11406990+7808772j, 28439684+46140248j, -19280640+-14336766j, 28606223+-29042450j, 7528783+-18056222j, -7398470+-5259674j, -4263477+-4749924j, -45382029+16330097j, -3543114+49794197j, 
1550214+-36230405j, 21291827+10747417j, -16197293+6838616j, -9611739+-23964010j, -29027483+-8722940j, 7836223+20923551j, -15401644+-983040j, 24283621+8091605j, 21733208+14695028j, -28287099+-19959442j, 15836299+14628841j, -46219650+-34149757j, 10622000+-7363287j, 16298416+-5411018j, -17683678+8301614j, -1834846+5998695j, 
34509389+9209139j, -6510709+-2438904j, -4258976+29789402j, -15306080+18969683j, 20687857+62967879j, -4024799+7101789j, 13871573+28802873j, 3718852+-44144536j, -19273191+46369974j, -12292729+35119269j, 27680562+-26911849j, -9847136+17766808j, 574304+-24862131j, 30088328+13068029j, 33828383+1302626j, -16077743+-4488472j, 
-2235024+11765741j, 3035082+-3616849j, -2542867+8089315j, -19304063+-17665362j, 14054830+9945858j, 9403680+-24718495j, 13804692+5417091j, 25669603+-22466124j, 698520+-14367527j, 574451+-24961798j, 5373762+9537623j, 2999131+12381996j, 6521895+16923953j, -305483+26236029j, -14568750+-7363543j, -3385128+-9187550j, 
